peg:[index, x, y] =[1.0, -1.5718318112179863, -0.21896714890564326]
peg:[index, x, y] =[2.0, -0.8341816019378143, -2.1203214096676266]
peg:[index, x, y] =[3.0, 0.0, -3.4]
peg:[index, x, y] =[4.0, 0.8341816019378143, -2.1203214096676266]
peg:[index, x, y] =[5.0, 1.5718318112179863, -0.21896714890564326]
socket:[index, x, y] =[1.0, -2.0, 0.0]
socket:[index, x, y] =[2.0, -1.1095898009495455, -0.7232815924036253]
socket:[index, x, y] =[3.0, -0.8, -3.2]
socket:[index, x, y] =[4.0, 0.0, -3.6]
socket:[index, x, y] =[5.0, 0.8, -3.2]
socket:[index, x, y] =[6.0, 1.1095898009495455, -0.7232815924036253]
socket:[index, x, y] =[7.0, 2.0, 0.0]
peg:[index, x, y] =[1.0, -1.7968751678013914, -0.03616407962018134]
peg:[index, x, y] =[2.0, -1.0003988527133443, -2.8334890179177568]
peg:[index, x, y] =[3.0, 0.0, -3.4]
peg:[index, x, y] =[4.0, 1.0003988527133443, -2.8334890179177568]
peg:[index, x, y] =[5.0, 1.7968751678013914, -0.03616407962018134]
socket:[index, x, y] =[1.0, -2.0, 0.0]
socket:[index, x, y] =[2.0, -1.1095898009495455, -0.7232815924036253]
socket:[index, x, y] =[3.0, -1.0994557057055183, -3.0502721471472434]
socket:[index, x, y] =[4.0, 0.0, -3.6]
socket:[index, x, y] =[5.0, 1.0994557057055183, -3.0502721471472434]
socket:[index, x, y] =[6.0, 1.1095898009495455, -0.7232815924036253]
socket:[index, x, y] =[7.0, 2.0, 0.0]
peg:[index, x, y] =[1.0, -1.5718318112179863, -0.21896714890564326]
peg:[index, x, y] =[2.0, -0.8341816019378143, -2.1203214096676266]
peg:[index, x, y] =[3.0, 0.0, -3.4]
peg:[index, x, y] =[4.0, 0.8341816019378143, -2.1203214096676266]
peg:[index, x, y] =[5.0, 1.5718318112179863, -0.21896714890564326]
socket:[index, x, y] =[1.0, -2.0, 0.0]
socket:[index, x, y] =[2.0, -1.1095898009495455, -0.7232815924036253]
socket:[index, x, y] =[3.0, -0.8, -3.2]
socket:[index, x, y] =[4.0, 0.0, -3.6]
socket:[index, x, y] =[5.0, 0.8, -3.2]
socket:[index, x, y] =[6.0, 1.1095898009495455, -0.7232815924036253]
socket:[index, x, y] =[7.0, 2.0, 0.0]
peg:[index, x, y] =[1.0, -1.7968751678013914, -0.03616407962018134]
peg:[index, x, y] =[2.0, -1.0003988527133443, -2.8334890179177568]
peg:[index, x, y] =[3.0, 0.0, -3.4]
peg:[index, x, y] =[4.0, 1.0003988527133443, -2.8334890179177568]
peg:[index, x, y] =[5.0, 1.7968751678013914, -0.03616407962018134]
socket:[index, x, y] =[1.0, -2.0, 0.0]
socket:[index, x, y] =[2.0, -1.1095898009495455, -0.7232815924036253]
socket:[index, x, y] =[3.0, -1.0994557057055183, -3.0502721471472434]
socket:[index, x, y] =[4.0, 0.0, -3.6]
socket:[index, x, y] =[5.0, 1.0994557057055183, -3.0502721471472434]
socket:[index, x, y] =[6.0, 1.1095898009495455, -0.7232815924036253]
socket:[index, x, y] =[7.0, 2.0, 0.0]
peg:[index, x, y] =[1.0, -1.55494902474336, -0.3012398957829652]
peg:[index, x, y] =[2.0, -0.8242519618353171, -2.1997585304876037]
peg:[index, x, y] =[3.0, 0.0, -3.59]
peg:[index, x, y] =[4.0, 0.8242519618353171, -2.1997585304876037]
peg:[index, x, y] =[5.0, 1.55494902474336, -0.3012398957829652]
socket:[index, x, y] =[1.0, -2.0, 0.0]
socket:[index, x, y] =[2.0, -1.086547080254711, -0.9076233579623018]
socket:[index, x, y] =[3.0, -0.8, -3.2]
socket:[index, x, y] =[4.0, 0.0, -3.6]
socket:[index, x, y] =[5.0, 0.8, -3.2]
socket:[index, x, y] =[6.0, 1.086547080254711, -0.9076233579623018]
socket:[index, x, y] =[7.0, 2.0, 0.0]
peg:[index, x, y] =[1.0, -1.8124511041890048, -0.04538116789811514]
peg:[index, x, y] =[2.0, -0.9786005917824286, -2.7320779810144207]
peg:[index, x, y] =[3.0, 0.0, -3.59]
peg:[index, x, y] =[4.0, 0.9786005917824286, -2.7320779810144207]
peg:[index, x, y] =[5.0, 1.8124511041890048, -0.04538116789811514]
socket:[index, x, y] =[1.0, -2.0, 0.0]
socket:[index, x, y] =[2.0, -1.086547080254711, -0.9076233579623018]
socket:[index, x, y] =[3.0, -1.077722942656914, -2.9338214890616956]
socket:[index, x, y] =[4.0, 0.0, -3.6]
socket:[index, x, y] =[5.0, 1.077722942656914, -2.9338214890616956]
socket:[index, x, y] =[6.0, 1.086547080254711, -0.9076233579623018]
socket:[index, x, y] =[7.0, 2.0, 0.0]
peg:[index, x, y] =[1.0, -1.5669199618222036, -0.241789297795345]
peg:[index, x, y] =[2.0, -0.8314366818050216, -2.1422807707299674]
peg:[index, x, y] =[3.0, 0.0, -3.45]
peg:[index, x, y] =[4.0, 0.8314366818050216, -2.1422807707299674]
peg:[index, x, y] =[5.0, 1.5669199618222036, -0.241789297795345]
socket:[index, x, y] =[1.0, -2.0, 0.0]
socket:[index, x, y] =[2.0, -1.103219939877374, -0.7742404809809956]
socket:[index, x, y] =[3.0, -0.8, -3.2]
socket:[index, x, y] =[4.0, 0.0, -3.6]
socket:[index, x, y] =[5.0, 0.8, -3.2]
socket:[index, x, y] =[6.0, 1.103219939877374, -0.7742404809809956]
socket:[index, x, y] =[7.0, 2.0, 0.0]
peg:[index, x, y] =[1.0, -1.620726765429561, -0.19533486893648552]
peg:[index, x, y] =[2.0, -0.725309702847941, -2.9912966023866154]
peg:[index, x, y] =[3.0, 0.0, -3.45]
peg:[index, x, y] =[4.0, 0.725309702847941, -2.9912966023866154]
peg:[index, x, y] =[5.0, 1.620726765429561, -0.19533486893648552]
socket:[index, x, y] =[1.0, -2.0, 0.0]
socket:[index, x, y] =[2.0, -1.103219939877374, -0.7742404809809956]
socket:[index, x, y] =[3.0, -0.8, -3.2]
socket:[index, x, y] =[4.0, 0.0, -3.6]
socket:[index, x, y] =[5.0, 0.8, -3.2]
socket:[index, x, y] =[6.0, 1.103219939877374, -0.7742404809809956]
socket:[index, x, y] =[7.0, 2.0, 0.0]
peg:[index, x, y] =[1.0, -1.5567109545132518, -0.29214620902144217]
peg:[index, x, y] =[2.0, -0.8253543965346363, -2.1909390528930506]
peg:[index, x, y] =[3.0, 0.0, -3.55]
peg:[index, x, y] =[4.0, 0.8253543965346363, -2.1909390528930506]
peg:[index, x, y] =[5.0, 1.5567109545132518, -0.29214620902144217]
socket:[index, x, y] =[1.0, -2.0, 0.0]
socket:[index, x, y] =[2.0, -1.0891053899817993, -0.8871568801455957]
socket:[index, x, y] =[3.0, -0.8, -3.2]
socket:[index, x, y] =[4.0, 0.0, -3.6]
socket:[index, x, y] =[5.0, 0.8, -3.2]
